match_id,season,round_number,total_score,temperature,match_title,home_away,behinds,goals,ratio,score,scorediff,team
CD_M20202640404,2020,4,56,18,West Coast Eagles vs Western Bulldogs,away,8,3,0.375,26,-4,Western Bulldogs
CD_M20202640404,2020,4,56,18,West Coast Eagles vs Western Bulldogs,home,6,4,0.666666666666667,30,4,West Coast Eagles
CD_M20202640405,2020,4,64,18,Adelaide Crows vs Carlton,away,6,5,0.833333333333333,36,8,Carlton
CD_M20202640405,2020,4,64,18,Adelaide Crows vs Carlton,home,4,4,1,28,-8,Adelaide Crows
CD_M20202640406,2020,4,47,32,St Kilda vs Fremantle,away,6,3,0.5,24,1,Fremantle
CD_M20202640406,2020,4,47,32,St Kilda vs Fremantle,home,5,3,0.6,23,-1,St Kilda
CD_M20202640407,2020,4,74,18,Brisbane Lions vs GWS Giants,away,5,3,0.6,23,-28,GWS Giants
CD_M20202640407,2020,4,74,18,Brisbane Lions vs GWS Giants,home,9,7,0.777777777777778,51,28,Brisbane Lions
CD_M20202640501,2020,5,56,18,Gold Coast Suns vs Geelong Cats,away,8,5,0.625,38,20,Geelong Cats
CD_M20202640501,2020,5,56,18,Gold Coast Suns vs Geelong Cats,home,6,2,0.333333333333333,18,-20,Gold Coast Suns
CD_M20202640502,2020,5,84,16,Kangaroos vs Adelaide Crows,away,3,3,1,21,-42,Adelaide Crows
CD_M20202640502,2020,5,84,16,Kangaroos vs Adelaide Crows,home,9,9,1,63,42,Kangaroos
CD_M20202640503,2020,5,67,26,GWS Giants vs Richmond,away,5,1,0.2,11,-45,Richmond
CD_M20202640503,2020,5,67,26,GWS Giants vs Richmond,home,14,7,0.5,56,45,GWS Giants
CD_M20202640504,2020,5,79,21,Carlton vs St Kilda,away,5,4,0.8,29,-21,St Kilda
CD_M20202640504,2020,5,79,21,Carlton vs St Kilda,home,2,8,4,50,21,Carlton
CD_M20202640505,2020,5,74,20,Collingwood vs Western Bulldogs,away,3,3,1,21,-32,Western Bulldogs
CD_M20202640505,2020,5,74,20,Collingwood vs Western Bulldogs,home,5,8,1.6,53,32,Collingwood
CD_M20202640506,2020,5,73,22,Melbourne vs West Coast Eagles,away,1,1,1,7,-59,West Coast Eagles
CD_M20202640506,2020,5,73,22,Melbourne vs West Coast Eagles,home,6,10,1.66666666666667,66,59,Melbourne
CD_M20202640507,2020,5,82,18,Fremantle vs Brisbane Lions,away,8,4,0.5,32,-18,Brisbane Lions
CD_M20202640507,2020,5,82,18,Fremantle vs Brisbane Lions,home,8,7,0.875,50,18,Fremantle
CD_M20202640601,2020,6,NA,NA,Geelong Cats vs Kangaroos,away,NA,NA,NA,NA,NA,Kangaroos
CD_M20202640601,2020,6,NA,NA,Geelong Cats vs Kangaroos,home,NA,NA,NA,NA,NA,Geelong Cats
CD_M20202640602,2020,6,NA,NA,Brisbane Lions vs Collingwood,away,NA,NA,NA,NA,NA,Collingwood
CD_M20202640602,2020,6,NA,NA,Brisbane Lions vs Collingwood,home,NA,NA,NA,NA,NA,Brisbane Lions
CD_M20202640603,2020,6,NA,NA,St Kilda vs Richmond,away,NA,NA,NA,NA,NA,Richmond
CD_M20202640603,2020,6,NA,NA,St Kilda vs Richmond,home,NA,NA,NA,NA,NA,St Kilda
CD_M20202640604,2020,6,NA,NA,Melbourne vs Carlton,away,NA,NA,NA,NA,NA,Carlton
CD_M20202640604,2020,6,NA,NA,Melbourne vs Carlton,home,NA,NA,NA,NA,NA,Melbourne
CD_M20202640605,2020,6,NA,NA,Western Bulldogs vs Fremantle,away,NA,NA,NA,NA,NA,Fremantle
CD_M20202640605,2020,6,NA,NA,Western Bulldogs vs Fremantle,home,NA,NA,NA,NA,NA,Western Bulldogs
CD_M20202640606,2020,6,NA,NA,Adelaide Crows vs GWS Giants,away,NA,NA,NA,NA,NA,GWS Giants
CD_M20202640606,2020,6,NA,NA,Adelaide Crows vs GWS Giants,home,NA,NA,NA,NA,NA,Adelaide Crows
CD_M20202640607,2020,6,NA,NA,West Coast Eagles vs Gold Coast Suns,away,NA,NA,NA,NA,NA,Gold Coast Suns
CD_M20202640607,2020,6,NA,NA,West Coast Eagles vs Gold Coast Suns,home,NA,NA,NA,NA,NA,West Coast Eagles
CD_M20202640701,2020,7,NA,NA,Richmond vs Brisbane Lions,away,NA,NA,NA,NA,NA,Brisbane Lions
CD_M20202640701,2020,7,NA,NA,Richmond vs Brisbane Lions,home,NA,NA,NA,NA,NA,Richmond
CD_M20202640702,2020,7,NA,NA,Carlton vs West Coast Eagles,away,NA,NA,NA,NA,NA,West Coast Eagles
CD_M20202640702,2020,7,NA,NA,Carlton vs West Coast Eagles,home,NA,NA,NA,NA,NA,Carlton
CD_M20202640703,2020,7,NA,NA,Kangaroos vs Western Bulldogs,away,NA,NA,NA,NA,NA,Western Bulldogs
CD_M20202640703,2020,7,NA,NA,Kangaroos vs Western Bulldogs,home,NA,NA,NA,NA,NA,Kangaroos
CD_M20202640704,2020,7,NA,NA,GWS Giants vs Geelong Cats,away,NA,NA,NA,NA,NA,Geelong Cats
CD_M20202640704,2020,7,NA,NA,GWS Giants vs Geelong Cats,home,NA,NA,NA,NA,NA,GWS Giants
CD_M20202640705,2020,7,NA,NA,Gold Coast Suns vs Adelaide Crows,away,NA,NA,NA,NA,NA,Adelaide Crows
CD_M20202640705,2020,7,NA,NA,Gold Coast Suns vs Adelaide Crows,home,NA,NA,NA,NA,NA,Gold Coast Suns
